id,prompt,schedule,tags,subdescriptions
0,A baker pulling freshly baked bread out of an oven in a bakery.,"['A baker takes crusty loaves from the oven in a bakery.', 'In a bakery, a baker pulls out crusty loaves from a cast-iron oven. Sunlight highlights the floury countertops.', 'A baker pulls golden loaves from a vintage oven in a bustling bakery. Sunlight shines on floury counters.', 'In a cozy bakery, a baker removes crusty loaves from a vintage oven. Sunlight streams in, highlighting flour-dusted countertops, as the aroma of fresh bread fills the air, showing craftsmanship.', 'In the cozy, rustic ambiance of a bustling bakery, a skilled baker carefully pulls a tray of golden, crusty loaves from a vintage, cast-iron oven. Sunlight streams through the window, illuminating flour-dusted countertops, while the warm, inviting aroma of freshly baked bread fills the air, reflecting a moment of craftsmanship and dedication.']","Action Relation,Attribute,Scene,Spatial Relation","['Cozy rustic ambiance of the bakery', 'A skilled baker is carefully pulling a tray of loaves from the oven', 'The loaves are golden and crusty', 'The oven is vintage and made of cast iron', 'Sunlight streams through the window into the bakery', 'Countertops are dusted with flour', 'The aroma of freshly baked bread fills the air', 'The scene reflects a moment of craftsmanship and dedication', 'The bakery is bustling', 'The oven is made of cast iron', 'Loaves of bread are arranged on the tray', 'Flour is visible on the countertops', 'The aroma is warm and inviting', 'Sunlight illuminates the interior space, enhancing visibility']"
1,A photographer capturing a fleeting moment in a vibrant city street.,"['A photographer captures a busy city street.', 'A photographer captures a colorful, energetic city street with moving pedestrians.', 'A skilled photographer captures a vibrant, energetic city street with pedestrians in diverse attire.', 'A skilled photographer captures a fleeting moment on a busy city street, filled with vibrant colors and lively movement. Pedestrians in diverse attire create a visually captivating, harmonious scene.', 'A skilled photographer skillfully captures a fleeting moment on a bustling city street, filled with a kaleidoscope of vibrant colors and lively movement. The scene buzzes with energy as pedestrians in diverse attire navigate the urban landscape, their dynamic expressions creating a visually captivating, harmoniously composed urban scene.']","Action Relation,Attribute,Scene","['Photographer skillfully capturing a moment', 'City street bustling with activity', 'A mixture of vibrant colors present in the scene', 'The street scene filled with lively movement', 'The bustling atmosphere buzzes with energy', 'Pedestrians wearing diverse attire', 'Urban landscape depicting a city street', ""Dynamic expressions on pedestrians' faces"", 'Scene is visually captivating and harmoniously composed', 'A kaleidoscope of colors fills the scene', 'Street is busy with people moving around']"
2,A gardener tending to flowers in a greenhouse filled with sunlight.,"['A gardener tends to flowers in a greenhouse.', 'In a sunlit greenhouse, a gardener cares for flowers. Sunlight creates a serene atmosphere.', 'A gardener tends to vibrant flowers in a sunlit greenhouse, creating a tranquil atmosphere.', 'In a sunlit greenhouse, a gardener carefully tends to vibrant flowers. Sunlight through the glass creates a serene atmosphere, highlighting lush greenery and colorful blooms.', ""In a sunlit greenhouse, a dedicated gardener carefully tends to vibrant flowers, bathed in a golden glow. The gentle play of sunlight through the glass creates a serene atmosphere, accentuating the lush greenery and colorful blooms. The gardener's nurturing presence brings life to this tranquil haven.""]","Action Relation,Scene","['Gardener carefully tending to the flowers', 'Vibrant flowers in various colors', 'Flowers bathed in a golden glow from the sun', 'Sunlight filtering through the glass of the greenhouse', 'Serene atmosphere created by the play of sunlight', 'Lush greenery surrounding the area', ""Gardener's presence brings life and care"", 'Tranquil haven described by the greenhouse setting', 'Greenhouse structure allowing sunlight to enter', 'Atmosphere is serene due to the gentle play of light', 'Greenhouse interior filled with colorful blooms', ""Gardener's activities involve nurturing the plants"", 'Glass panels in the greenhouse let in sunlight', 'This is a greenhouse setting with sunlit conditions', 'Sunlight contributes to the vibrant and colorful environment']"
3,A man shaping clay on a wheel in a cluttered workshop.,"['An artisan shapes a pot on a wheel.', 'A skilled artisan shapes a pot on a spinning wheel in a workshop full of tools and clay sculptures.', 'In a workshop with tools and clay sculptures, an artisan skillfully shapes an earthen pot on a spinning wheel, surrounded by his finished pieces.', 'In a sunlit workshop filled with tools and clay sculptures, a skilled artisan shapes a wet, earthen pot on a spinning wheel. His focused expression and practiced hands create elegant curves, surrounded by finished pieces on shelves and tables.', 'In a bustling, sunlit workshop brimming with tools and clay sculptures, a skilled artisan deftly shapes a wet, earthen pot on a spinning wheel. His focused expression and practiced hands create flowing, elegant curves, while various finished pieces, reflecting his craftsmanship, surround him on wooden shelves and tables.']","Action Relation,Attribute,Scene,Spatial Relation","['Tools and clay sculptures are present in the workshop', 'A skilled artisan is shaping a pot', 'The workshop is bustling and filled with activity', 'Sunlight illuminates the workshop', 'The artisan uses a spinning wheel to shape the pot', 'The pot being shaped is wet and earthen', 'Wooden shelves and tables display finished pieces', 'The artisan demonstrates practiced skill with their hands', 'Finished clay sculptures surround the artisan', ""The artisan's expression is focused"", 'The shapes created by the artisan are flowing and elegant', 'The pot is being crafted on a spinning wheel', ""Various finished pieces reflect the artisan's craftsmanship""]"
4,"A crystal tree shimmering under a twilit, starry sky.","['A crystal tree glowing under a starry sky.', 'A crystal tree under a starry sky, glowing ethereally. The scene is serene and wondrous.', 'A luminous crystal tree under a starry sky. Stars reflect on the tree, creating an ethereal glow. The scene radiates wonder and serenity.', ""A luminous crystal tree with glistening facets stands under a twilit sky. Stars above reflect on the tree, creating an ethereal glow. The tranquil scene captures nature's brilliance."", ""A luminous crystal tree adorned with intricate, glistening facets stands majestically under a deepening twilit sky. The celestial canopy above sparkles with countless stars, casting gentle reflections upon the tree’s surface, creating an ethereal glow. The tranquil scene is imbued with a sense of wonder and serenity, capturing nature's brilliance.""]","Action Relation,Attribute,Scene","['Aluminouscrystaltreeadornedwithintricatefacets', 'Thetreeglowswithetherealreflectionsfromthestars', 'Astheeveningprogresses,thetwilitskydeepensindarkness', 'Celestialcanopyabovethattwinkleswithcountlessstars', 'Starsemitgentlelightwhichtintsthetreewithaglow', 'Thecrystaltreestandsmajestically', 'Atmosphereofpeace,serenity,andwonderissuggestedbythescene', 'Starlightismirroredonthecrystaltreesurface', ""Thescenecapturesnature'sbrillianceandbeauty"", 'Thetreedecorationisintricateandglistening', 'Theskyisfilledwithcountlesssparklingstars', 'Thetreesurfaceproducesetherealreflections']"
5,"A dragon perched majestically on a craggy, smoke-wreathed mountain.","['A dragon on a smoky mountain.', 'An emerald dragon on a smoky mountain peak at twilight.', 'An emerald dragon with wings partially unfurled, on a smoke-wreathed mountain peak, in twilight.', 'An emerald-scaled dragon perched atop a smoke-wreathed mountain peak, its wings partially unfurled and glinting in twilight, surveying the ethereal landscape with authority.', 'A formidable, emerald-scaled dragon perched majestically atop a jagged, smoke-wreathed mountain peak, its wings partially unfurled and glinting in the twilight. Thick tendrils of mist and smoke hypnotically swirl around the craggy terrain, enhancing the mystical aura of the scene, as the dragon surveys the vast, ethereal landscape below with regal authority.']","Action Relation,Attribute,Scene,Spatial Relation","['Dragon with emerald scales perched on a mountain peak', ""Dragon's wings are partially unfurled"", 'Mountain peak is jagged and surrounded by smoke', 'Mist and smoke create a swirling effect around the terrain', ""Dragon's scales are emerald in color"", 'Dragon exudes a sense of regal authority', 'Scene has a mystical aura', ""Twilight causes the dragon's wings to glint"", 'Mountain peak is smoke-wreathed', 'Dragon is positioned at the top of the mountain', 'Landscape below the mountain is vast and ethereal', 'Thick tendrils of mist and smoke move hypnotically', 'Atmosphere of the scene is mystical and majestic', 'Dragon surveys the landscape with authority']"
6,"A fairy dancing lightly atop a blooming, moonlit flower.","['A fairy dances on a moonlit flower.', 'A fairy with shimmering wings dances on a glowing moonlit flower at night.', 'A graceful fairy with iridescent wings dances on a luminescent, moonlit flower in full bloom, contrasting the night sky.', ""A graceful fairy delicately dances atop a luminescent, moonlit flower in full bloom. Her wings shimmer with iridescent hues, creating a mesmerizing contrast against the night sky. The flower's petals unfurl elegantly, bathed in gentle lunar glow, enhancing the magical ambiance of this enchanting, ethereal scene."", ""A graceful fairy delicately dances atop a luminescent, moonlit flower in full bloom. Her wings shimmer with iridescent hues, creating a mesmerizing contrast against the night sky. The flower's petals unfurl elegantly, bathed in gentle lunar glow, enhancing the magical ambiance of this enchanting, ethereal scene.""]","Action Relation,Attribute,Spatial Relation","['A fairy dances gracefully on a flower', 'The flower is luminescent and moonlit', 'The flower is in full bloom', ""Fairy's wings shimmer with iridescent hues"", 'Contrast between the wings and the night sky', ""Flower's petals unfurl elegantly"", 'Scene illuminated by a gentle lunar glow', 'The scene has a magical and ethereal atmosphere', ""The fairy's wings create a mesmerizing effect"", 'The night sky provides a dark background', 'The ambiance of the scene is enchanting', 'The moonlight bathes the flower in glow', 'The setting is a night scene']"
7,"A phoenix soaring above a city, aglow with golden flames.","['A phoenix with golden flames flies over a city.', 'A phoenix with golden flames soars over a city. Its wings light skyscrapers, casting reflections.', 'A phoenix with golden flames flies over a futuristic cityscape. Its wings illuminate skyscrapers, casting reflections on glass and steel.', 'A majestic phoenix radiates golden flames as it soars above a futuristic cityscape. Its luminous wings illuminate the skyscrapers below, casting reflections against the glass and steel structures, creating an awe-inspiring scene.', 'A majestic phoenix radiates brilliant golden flames as it soars gracefully above a sprawling, futuristic cityscape. Its luminous wings illuminate the towering skyscrapers below, casting ethereal reflections against the shimmering glass and steel structures. The fiery bird creates an awe-inspiring, captivating scene filled with vibrant energy and mythical elegance.']","Attribute,Part Relation,Scene,Spatial Relation","['Phoenix with wings emitting brilliant golden flames', 'Phoenix soaring gracefully in the sky', 'Skyscrapers forming a sprawling futuristic cityscape below', 'Luminous wings of the phoenix illuminating the skyscrapers', 'Reflections cast against glass and steel structures', 'Bird creates a captivating and awe-inspiring scene', ""Phoenix's presence filled with vibrant energy"", 'Mythical elegance embodied by the phoenix', 'Cityscape features glass and steel skyscrapers', 'Phoenix radiating golden flames from its body', 'Scene includes a futuristic cityscape', 'Phoenix depicted as a majestic creature in flight', 'Golden flames from the phoenix are brilliant', 'Energy in the scene is vibrant and dynamic']"
8,"A ghostly ship sailing on a fog-shrouded, moonlit sea.","['A ghost ship sails through fog on a moonlit sea.', 'A ghost ship with pale sails glides through fog. The moon lights its figurehead and sails.', 'A ghost ship with luminescent sails moves through mist on a moonlit sea. The moon glows on its figurehead and tattered sails.', 'An ethereal ghost ship cuts through fog on a moonlit sea. Luminescent sails and a spectral figurehead are illuminated by the moon, creating contrast on tranquil waters.', ""A hauntingly ethereal ghost ship cuts through a dense fog on a moonlit, mysterious sea. The pale, luminescent sails ripple against a backdrop of swirling mist. The moon casts an eerie glow, illuminating the ship's spectral figurehead and tattered sails, creating a mesmerizing contrast between shadow and light on the tranquil waters.""]","Action Relation,Attribute,Scene","['Ship moves through dense fog on the sea', 'Moonlight illuminates the ship and its surroundings', 'Spectral figurehead present on the ship', 'Sails are pale and luminescent, rippling in the wind', 'Dense fog creates a mysterious atmosphere', 'Sails appear tattered and worn', 'The sea is calm and tranquil', 'Moon casts an eerie glow over the scene', 'The ship is described as ghostly and ethereal', 'Contrast between shadows and light evident on the waters', 'Mist swirls around the ship in the fog', 'Backdrop consists of swirling mist and moonlight', 'The ship creates a mesmerizing visual effect']"
9,"A sorcerer's hat casting shadows over a cluttered, enchanted desk.","[""A sorcerer's hat casts shadows over a desk with magical items."", 'A hat casts shadows over a desk with magical items like crystals, spellbooks, and potions.', 'A towering hat casts mystical shadows over a cluttered desk with enchanted items and dim light highlights the magic.', ""A towering sorcerer's hat casts elongated, mystical shadows over a cluttered desk filled with enchanted artifacts, crystals, spellbooks, and potions. Dim light accentuates the patterns on the hat and the magical aura of the desk."", ""A towering sorcerer's hat casts elongated, mystical shadows over a cluttered desk filled with enchanted artifacts, gleaming crystals, dusty spellbooks, and shimmering potions. The scene is bathed in dim, ambient light, accentuating the intricate patterns and textures on the hat and the magical aura enveloping the desk objects.""]","Action Relation,Attribute,Spatial Relation","[""Towering sorcerer's hat dominating the area"", 'Hat casts elongated, mystical shadows', 'Desk cluttered with various enchanted artifacts', 'Gleaming crystals scattered across the desk', 'Dusty spellbooks piled on the desk', 'Shimmering potions placed among other objects', 'Dim, ambient light illuminating the scene', 'Intricate patterns and textures visible on the hat', 'Magical aura surrounding the desk objects', 'Crystals are gleaming with a bright shine', 'Spellbooks are covered in dust', 'Potions emit a shimmering glow', 'Light accentuates the details in the scene', 'Artifacts, crystals, spellbooks, and potions fill the desk', 'The setting creates a mystical and enchanting atmosphere', 'Shadows created by the hat are elongated and mystical']"
