id,prompt,schedule,tags
0,A baker pulling freshly baked bread out of an oven in a bakery.,"['A baker takes crusty loaves from the oven in a bakery.', 'In a bakery, a baker pulls out crusty loaves from a cast-iron oven. Sunlight highlights the floury countertops.', 'A baker pulls golden loaves from a vintage oven in a bustling bakery. Sunlight shines on floury counters.', 'In a cozy bakery, a baker removes crusty loaves from a vintage oven. Sunlight streams in, highlighting flour-dusted countertops, as the aroma of fresh bread fills the air, showing craftsmanship.', 'In the cozy, rustic ambiance of a bustling bakery, a skilled baker carefully pulls a tray of golden, crusty loaves from a vintage, cast-iron oven. Sunlight streams through the window, illuminating flour-dusted countertops, while the warm, inviting aroma of freshly baked bread fills the air, reflecting a moment of craftsmanship and dedication.']","Action Relation,Attribute,Scene,Spatial Relation"
1,A photographer capturing a fleeting moment in a vibrant city street.,"['A photographer captures a busy city street.', 'A photographer captures a colorful, energetic city street with moving pedestrians.', 'A skilled photographer captures a vibrant, energetic city street with pedestrians in diverse attire.', 'A skilled photographer captures a fleeting moment on a busy city street, filled with vibrant colors and lively movement. Pedestrians in diverse attire create a visually captivating, harmonious scene.', 'A skilled photographer skillfully captures a fleeting moment on a bustling city street, filled with a kaleidoscope of vibrant colors and lively movement. The scene buzzes with energy as pedestrians in diverse attire navigate the urban landscape, their dynamic expressions creating a visually captivating, harmoniously composed urban scene.']","Action Relation,Attribute,Scene"
2,A gardener tending to flowers in a greenhouse filled with sunlight.,"['A gardener tends to flowers in a greenhouse.', 'In a sunlit greenhouse, a gardener cares for flowers. Sunlight creates a serene atmosphere.', 'A gardener tends to vibrant flowers in a sunlit greenhouse, creating a tranquil atmosphere.', 'In a sunlit greenhouse, a gardener carefully tends to vibrant flowers. Sunlight through the glass creates a serene atmosphere, highlighting lush greenery and colorful blooms.', ""In a sunlit greenhouse, a dedicated gardener carefully tends to vibrant flowers, bathed in a golden glow. The gentle play of sunlight through the glass creates a serene atmosphere, accentuating the lush greenery and colorful blooms. The gardener's nurturing presence brings life to this tranquil haven.""]","Action Relation,Scene"
3,A man shaping clay on a wheel in a cluttered workshop.,"['An artisan shapes a pot on a wheel.', 'A skilled artisan shapes a pot on a spinning wheel in a workshop full of tools and clay sculptures.', 'In a workshop with tools and clay sculptures, an artisan skillfully shapes an earthen pot on a spinning wheel, surrounded by his finished pieces.', 'In a sunlit workshop filled with tools and clay sculptures, a skilled artisan shapes a wet, earthen pot on a spinning wheel. His focused expression and practiced hands create elegant curves, surrounded by finished pieces on shelves and tables.', 'In a bustling, sunlit workshop brimming with tools and clay sculptures, a skilled artisan deftly shapes a wet, earthen pot on a spinning wheel. His focused expression and practiced hands create flowing, elegant curves, while various finished pieces, reflecting his craftsmanship, surround him on wooden shelves and tables.']","Action Relation,Attribute,Scene,Spatial Relation"
4,"A crystal tree shimmering under a twilit, starry sky.","['A crystal tree glowing under a starry sky.', 'A crystal tree under a starry sky, glowing ethereally. The scene is serene and wondrous.', 'A luminous crystal tree under a starry sky. Stars reflect on the tree, creating an ethereal glow. The scene radiates wonder and serenity.', ""A luminous crystal tree with glistening facets stands under a twilit sky. Stars above reflect on the tree, creating an ethereal glow. The tranquil scene captures nature's brilliance."", ""A luminous crystal tree adorned with intricate, glistening facets stands majestically under a deepening twilit sky. The celestial canopy above sparkles with countless stars, casting gentle reflections upon the tree’s surface, creating an ethereal glow. The tranquil scene is imbued with a sense of wonder and serenity, capturing nature's brilliance.""]","Action Relation,Attribute,Scene"
5,"A dragon perched majestically on a craggy, smoke-wreathed mountain.","['A dragon on a smoky mountain.', 'An emerald dragon on a smoky mountain peak at twilight.', 'An emerald dragon with wings partially unfurled, on a smoke-wreathed mountain peak, in twilight.', 'An emerald-scaled dragon perched atop a smoke-wreathed mountain peak, its wings partially unfurled and glinting in twilight, surveying the ethereal landscape with authority.', 'A formidable, emerald-scaled dragon perched majestically atop a jagged, smoke-wreathed mountain peak, its wings partially unfurled and glinting in the twilight. Thick tendrils of mist and smoke hypnotically swirl around the craggy terrain, enhancing the mystical aura of the scene, as the dragon surveys the vast, ethereal landscape below with regal authority.']","Action Relation,Attribute,Scene,Spatial Relation"
6,"A fairy dancing lightly atop a blooming, moonlit flower.","['A fairy dances on a moonlit flower.', 'A fairy with shimmering wings dances on a glowing moonlit flower at night.', 'A graceful fairy with iridescent wings dances on a luminescent, moonlit flower in full bloom, contrasting the night sky.', ""A graceful fairy delicately dances atop a luminescent, moonlit flower in full bloom. Her wings shimmer with iridescent hues, creating a mesmerizing contrast against the night sky. The flower's petals unfurl elegantly, bathed in gentle lunar glow, enhancing the magical ambiance of this enchanting, ethereal scene."", ""A graceful fairy delicately dances atop a luminescent, moonlit flower in full bloom. Her wings shimmer with iridescent hues, creating a mesmerizing contrast against the night sky. The flower's petals unfurl elegantly, bathed in gentle lunar glow, enhancing the magical ambiance of this enchanting, ethereal scene.""]","Action Relation,Attribute,Spatial Relation"
7,"A phoenix soaring above a city, aglow with golden flames.","['A phoenix with golden flames flies over a city.', 'A phoenix with golden flames soars over a city. Its wings light skyscrapers, casting reflections.', 'A phoenix with golden flames flies over a futuristic cityscape. Its wings illuminate skyscrapers, casting reflections on glass and steel.', 'A majestic phoenix radiates golden flames as it soars above a futuristic cityscape. Its luminous wings illuminate the skyscrapers below, casting reflections against the glass and steel structures, creating an awe-inspiring scene.', 'A majestic phoenix radiates brilliant golden flames as it soars gracefully above a sprawling, futuristic cityscape. Its luminous wings illuminate the towering skyscrapers below, casting ethereal reflections against the shimmering glass and steel structures. The fiery bird creates an awe-inspiring, captivating scene filled with vibrant energy and mythical elegance.']","Attribute,Part Relation,Scene,Spatial Relation"
8,"A ghostly ship sailing on a fog-shrouded, moonlit sea.","['A ghost ship sails through fog on a moonlit sea.', 'A ghost ship with pale sails glides through fog. The moon lights its figurehead and sails.', 'A ghost ship with luminescent sails moves through mist on a moonlit sea. The moon glows on its figurehead and tattered sails.', 'An ethereal ghost ship cuts through fog on a moonlit sea. Luminescent sails and a spectral figurehead are illuminated by the moon, creating contrast on tranquil waters.', ""A hauntingly ethereal ghost ship cuts through a dense fog on a moonlit, mysterious sea. The pale, luminescent sails ripple against a backdrop of swirling mist. The moon casts an eerie glow, illuminating the ship's spectral figurehead and tattered sails, creating a mesmerizing contrast between shadow and light on the tranquil waters.""]","Action Relation,Attribute,Scene"
9,"A sorcerer's hat casting shadows over a cluttered, enchanted desk.","[""A sorcerer's hat casts shadows over a desk with magical items."", 'A hat casts shadows over a desk with magical items like crystals, spellbooks, and potions.', 'A towering hat casts mystical shadows over a cluttered desk with enchanted items and dim light highlights the magic.', ""A towering sorcerer's hat casts elongated, mystical shadows over a cluttered desk filled with enchanted artifacts, crystals, spellbooks, and potions. Dim light accentuates the patterns on the hat and the magical aura of the desk."", ""A towering sorcerer's hat casts elongated, mystical shadows over a cluttered desk filled with enchanted artifacts, gleaming crystals, dusty spellbooks, and shimmering potions. The scene is bathed in dim, ambient light, accentuating the intricate patterns and textures on the hat and the magical aura enveloping the desk objects.""]","Action Relation,Attribute,Spatial Relation"
10,A pair of winged boots resting on a cloud in the sky.,"['Winged boots glimmering on a cloud.', 'Detailed winged boots on a white cloud in the sky with shadows.', 'Intricate winged boots glimmer, resting on a fluffy cloud, casting shadows.', 'Close-up of winged boots on a cloud, with feathered wings spreading shadows, against a blue sky.', ""A detailed close-up of a pair of intricately designed winged boots, glimmering in sunlight, gracefully resting on a fluffy white cloud high in the sky. The boots' delicate, feathered wings gently spread out, casting soft shadows, creating an ethereal and serene atmosphere against a vast, blue celestial backdrop.""]","Attribute,Scene,Spatial Relation,Counting"
11,A mirror is speaking in a dimly lit room.,"['A vintage room with a talking mirror.', 'A vintage room with a glowing mirror and dim candlelight.', 'A vintage room with a shimmering mirror, antique decor, and flickering candlelight.', 'In a vintage room with intricate woodwork and antique decor, a large mirror with a gilded frame shimmers. Candlelight casts shadows, creating an eerie atmosphere.', 'In a dimly lit, vintage room filled with intricate woodwork and antique decor, a large, ornate mirror with a gilded frame comes to life, its surface shimmering mysteriously. Soft candlelight casts flickering shadows on the walls as the mirror appears to speak, creating an eerie yet enchanting atmosphere.']","Attribute,Scene"
12,An ice castle standing proudly in the midst of a blizzard.,"['An ice castle during a blizzard.', 'A majestic ice castle with towers and swirling snowflakes in a blizzard.', 'A majestic ice castle with towers, snowflakes swirl in a fierce blizzard. Crystalline walls reflect light, spires defy winds.', 'A majestic ice castle gleams with intricate towers, surrounded by swirling snowflakes in a fierce blizzard. Crystalline walls reflect light amidst the storm; frosty spires defy the winds beneath an overcast sky.', ""Majestic ice castle gleaming in intricate detail, towers soaring, surrounded by swirling snowflakes in a fierce blizzard. Its crystalline walls reflect fleeting glimpses of light amidst the tumultuous storm, while frosty spires defy the winds beneath the vast, overcast sky, creating a breathtaking, ethereal spectacle of winter's raw power and serene beauty.""]","Attribute,Scene,Spatial Relation"
13,A potion bubbling brightly inside a cauldron in a shadowy nook.,"['A glowing potion in a cauldron.', 'A glowing potion bubbles in a cauldron. Mist rises above.', 'A glowing potion bubbles in a large cauldron in a dim nook. Mist rises and engravings shimmer.', 'A vibrant potion bubbles in an ornate cauldron, casting an ethereal glow in a dim nook. Mist rises and cauldron engravings shimmer, creating an enchanting atmosphere.', ""A vibrant, luminescent potion bubbling vigorously inside a large, ornate cauldron, casting an ethereal glow in a dimly lit, shadowy nook. The intricate details of the cauldron's engravings shimmer subtly, while curls of mist rise above the potion, creating an enchanting atmosphere in the secluded corner.""]","Attribute,Scene,Spatial Relation"
14,A book with glowing runes floating beside a mystic crystal.,"['A glowing tome and a crystal hover together.', 'A floating book with runes and a crystal share a bond, glowing with magic.', 'A glowing tome with ancient runes hovers near a crystal, both connected by magic.', 'A mystical tome with glowing runes hovers, reflecting on a faceted crystal. They share an enigmatic bond, suspended in magical energy.', 'A mystical tome adorned with ancient, glowing runes hovers in the air, its vibrant illumination reflecting against the intricately faceted surface of a mesmerizing, ethereal crystal. The book and crystal seem to share an enigmatic bond, suspended together in a delicate dance of magical energy and mysterious force.']","Attribute,Part Relation,Spatial Relation"
15,A celestial comet racing across a star-studded sky.,"['A comet moves across a starry sky.', ""A comet's trail in a starry night sky with glowing stars."", 'A comet streaks across a starry night, leaving a glittering trail. Stars form a bright backdrop.', 'A vibrant comet streaks across a star-filled night sky, leaving a luminous trail. The stars create a glowing backdrop.', ""A vibrant celestial comet streaks energetically across a vast, star-studded night sky, leaving a luminescent trail of glittering cosmic dust in its wake. The twinkling stars form a breathtaking backdrop, illuminating the ethereal scene with their silvery glow, creating a harmonious synergy between the comet's fiery brilliance and the serene celestial expanse.""]","Action Relation,Attribute,Scene"
16,A mermaid singing softly near a coral throne undersea.,"['A mermaid with a shimmering tail sings by a coral throne.', 'A mermaid sings near coral with sea anemones and kelp. Fish swim through tranquil waters.', 'A mermaid with an emerald tail sings near a coral throne. Vibrant coral with sea anemones and kelp creates an ethereal backdrop.', 'A mesmerizing mermaid with a shimmering emerald tail sings by a majestic coral throne. Vibrant coral, adorned with sea anemones and swaying kelp, creates an ethereal backdrop in the sun-dappled undersea realm where fish weave through tranquil waters.', 'A mesmerizing mermaid, her emerald tail shimmering, sings softly with a haunting melody near a majestic coral throne. The vibrant coral, adorned with sea anemones and swaying kelp, creates an ethereal backdrop in the sun-dappled undersea realm where fish weave through the tranquil waters, enhancing the serene ambiance.']","Attribute,Scene,Spatial Relation"
17,"A goblin trading shiny trinkets in a hidden, mystical market.","['A goblin trades trinkets under fairy lights.', 'A goblin with emerald skin trades trinkets under fairy lights, surrounded by glowing mushrooms.', 'A cunning goblin trades shiny trinkets in a market under fairy lights. Glowing mushrooms and mist surround him.', 'In a market under fairy lights, a cunning goblin trades trinkets. His emerald skin contrasts with colorful treasures on a wooden stall amid glowing mushrooms and mist.', 'In a secluded, enchanting market under a canopy of twinkling fairy lights, a cunning goblin eagerly trades gleaming trinkets. Surrounded by glowing mushrooms and ethereal mist, his weathered, emerald skin contrasts with the brilliant array of colorful, iridescent treasures displayed on a rustic, wooden stall.']","Action Relation,Attribute,Scene"
18,"A unicorn grazing peacefully in a radiant, rainbow-lit glade.","['A unicorn with a shiny mane grazes in a rainbow-lit glade.', 'A unicorn with an iridescent mane grazes among wildflowers in a rainbow-lit glade. Sun and breeze add serenity.', 'A unicorn with a shimmering mane grazes gracefully in a rainbow-lit glade with wildflowers. Morning sun and breeze create enchantment.', 'A majestic unicorn with a shimmering, iridescent mane grazes gracefully in a luminous, rainbow-lit glade, dappled with vibrant wildflowers. The morning sun casts a gentle glow over the tranquil scene, while a gentle breeze rustles the leaves, adding a sense of serene enchantment.', 'A majestic unicorn with a shimmering, iridescent mane grazes gracefully in a luminous, rainbow-lit glade, dappled with vibrant wildflowers. The morning sun casts a gentle glow over the tranquil scene, while a gentle breeze rustles the leaves, adding a sense of serene enchantment to this magical, secluded oasis.']","Action Relation,Attribute,Scene"
19,A magical quill writing tales by itself on an empty scroll.,"['A glowing quill writes on a scroll.', 'A luminous quill inscribes tales in shimmering ink on an ancient scroll.', 'A glowing, enchanted quill inscribes mesmerizing tales in shimmering ink on a pristine scroll.', 'A luminous, enchanted quill, adorned with silver filigree, inscribes mesmerizing tales in shimmering ink onto an ancient scroll. The quill, suspended in mid-air, glows ethereally, casting shadows and imbuing each word with magic.', 'A luminous, enchanted quill, intricately adorned with delicate silver filigree, gracefully inscribes mesmerizing tales in shimmering ink onto a pristine, ancient scroll. The quill, seemingly suspended in mid-air, dances delicately with an ethereal glow, casting subtle shadows across the parchment, as faint whispers of magic imbue each word with life.']","Action Relation,Attribute,Spatial Relation"
