initial_prompt,prompt_schedule,num_tokens,num_adjectives,num_nouns
A baker pulling freshly baked bread out of an oven in a bakery,"```python
prompts = [
    ""A baker pulling freshly baked bread out of an oven in a bakery"",
    ""A baker pulling freshly baked bread out of an oven in a bakery, warm wooden shelves"",
    ""A baker pulling freshly baked bread out of an oven in a bakery, warm wooden shelves, rustic brick walls"",
    ""A baker pulling freshly baked bread out of an oven in a bakery, warm wooden shelves, rustic brick walls, flour-dusted counter"",
    ""A baker pulling freshly baked bread out of an oven in a bakery, warm wooden shelves, rustic brick walls, flour-dusted counter, sunlight streaming through a window""
]
```",13,0,4
A photographer capturing a fleeting moment in a vibrant city street,"```python
prompts = [
    ""A photographer capturing a fleeting moment in a vibrant city street"",
    ""A photographer capturing a fleeting moment in a vibrant city street, bustling crowd"",
    ""A photographer capturing a fleeting moment in a vibrant city street, bustling crowd, towering skyscrapers"",
    ""A photographer capturing a fleeting moment in a vibrant city street, bustling crowd, towering skyscrapers, bright neon signs"",
    ""A photographer capturing a fleeting moment in a vibrant city street, bustling crowd, towering skyscrapers, bright neon signs, vintage cars passing by""
]
```",11,2,4
A gardener tending to flowers in a greenhouse filled with sunlight,"```python
prompts = [
    ""A gardener tending to flowers in a greenhouse filled with sunlight"",
    ""A gardener tending to flowers in a greenhouse filled with sunlight, rows of vibrant plants"",
    ""A gardener tending to flowers in a greenhouse filled with sunlight, rows of vibrant plants, delicate pink orchids"",
    ""A gardener tending to flowers in a greenhouse filled with sunlight, rows of vibrant plants, delicate pink orchids, lush green ferns"",
    ""A gardener tending to flowers in a greenhouse filled with sunlight, rows of vibrant plants, delicate pink orchids, lush green ferns, tall glass panels with sunlight streaming through""
]
```",11,0,4
A man shaping clay on a wheel in a cluttered workshop,"```python
prompts = [
    ""A man shaping clay on a wheel in a cluttered workshop"",
    ""A man shaping clay on a wheel in a cluttered workshop, shelves lined with pottery"",
    ""A man shaping clay on a wheel in a cluttered workshop, shelves lined with pottery, sunlight filtering through dusty windows"",
    ""A man shaping clay on a wheel in a cluttered workshop, shelves lined with pottery, sunlight filtering through dusty windows, tools scattered across the workbench"",
    ""A man shaping clay on a wheel in a cluttered workshop, shelves lined with pottery, sunlight filtering through dusty windows, tools scattered across the workbench, clay splattered on the floor""
]
```",11,1,4
"A crystal tree shimmering under a twilit, starry sky","```python
prompts = [
    ""A crystal tree shimmering under a twilit, starry sky"",
    ""A crystal tree shimmering under a twilit, starry sky, glowing crystal branches"",
    ""A crystal tree shimmering under a twilit, starry sky, glowing crystal branches, a backdrop of silhouetted mountains"",
    ""A crystal tree shimmering under a twilit, starry sky, glowing crystal branches, a backdrop of silhouetted mountains, distant horizon line"",
    ""A crystal tree shimmering under a twilit, starry sky, glowing crystal branches, a backdrop of silhouetted mountains, distant horizon line, specks of stardust scattered throughout the sky""
]
```",10,1,4
A dragon perched on a mountain,"```python
prompts = [
    ""A dragon perched on a mountain"",
    ""A dragon perched on a mountain, craggy terrain"",
    ""A dragon perched on a mountain, craggy terrain, smoke-wreathed peaks"",
    ""A dragon perched on a mountain, craggy terrain, smoke-wreathed peaks, majestic posture"",
    ""A dragon perched on a mountain, craggy terrain, smoke-wreathed peaks, majestic posture, scales glinting in faint light""
]
```",6,0,2
"A fairy dancing lightly atop a blooming, moonlit flower","```python
prompts = [
    ""A fairy dancing lightly atop a blooming, moonlit flower"",
    ""A fairy dancing lightly atop a blooming, moonlit flower, delicate petals"",
    ""A fairy dancing lightly atop a blooming, moonlit flower, delicate petals, lush greenery surrounding"",
    ""A fairy dancing lightly atop a blooming, moonlit flower, delicate petals, lush greenery surrounding, gentle glow from the fairy's wings"",
    ""A fairy dancing lightly atop a blooming, moonlit flower, delicate petals, lush greenery surrounding, gentle glow from the fairy's wings, twinkling stars in a night sky""
]
```",10,0,4
"A phoenix soaring above a city, aglow with golden flames","```python
prompts = [
    ""A phoenix soaring above a city, aglow with golden flames"",
    ""A phoenix soaring above a city, aglow with golden flames, shining skyscrapers"",
    ""A phoenix soaring above a city, aglow with golden flames, shining skyscrapers, sprawling urban landscape"",
    ""A phoenix soaring above a city, aglow with golden flames, shining skyscrapers, sprawling urban landscape, twilight sky"",
    ""A phoenix soaring above a city, aglow with golden flames, shining skyscrapers, sprawling urban landscape, twilight sky, reflections on glass facades""
]
```",11,1,3
"A ghostly ship sailing on a fog-shrouded, moonlit sea","```python
prompts = [
    ""A ghostly ship sailing on a fog-shrouded, moonlit sea"",
    ""A ghostly ship sailing on a fog-shrouded, moonlit sea, swirling mist"",
    ""A ghostly ship sailing on a fog-shrouded, moonlit sea, swirling mist, tattered sails"",
    ""A ghostly ship sailing on a fog-shrouded, moonlit sea, swirling mist, tattered sails, ancient wood creaking"",
    ""A ghostly ship sailing on a fog-shrouded, moonlit sea, swirling mist, tattered sails, ancient wood creaking, glints of moonlight on spectral waves""
]
```",10,3,1
"A sorcerer's hat casting shadows over a cluttered, enchanted desk","```python
prompts = [
    ""A sorcerer's hat casting shadows over a cluttered, enchanted desk"",
    ""A sorcerer's hat casting shadows over a cluttered, enchanted desk, ancient spellbooks scattered"",
    ""A sorcerer's hat casting shadows over a cluttered, enchanted desk, ancient spellbooks scattered, softly glowing runes etched in the wood"",
    ""A sorcerer's hat casting shadows over a cluttered, enchanted desk, ancient spellbooks scattered, softly glowing runes etched in the wood, mysterious potions in glass vials"",
    ""A sorcerer's hat casting shadows over a cluttered, enchanted desk, ancient spellbooks scattered, softly glowing runes etched in the wood, mysterious potions in glass vials, flickering candlelight illuminating the scene""
]
```",12,1,3
A pair of winged boots resting on a cloud in the sky,"```python
prompts = [
    ""A pair of winged boots resting on a cloud in the sky"",
    ""A pair of winged boots resting on a cloud in the sky, fluffy white clouds"",
    ""A pair of winged boots resting on a cloud in the sky, fluffy white clouds, azure blue sky"",
    ""A pair of winged boots resting on a cloud in the sky, fluffy white clouds, azure blue sky, golden sunlight"",
    ""A pair of winged boots resting on a cloud in the sky, fluffy white clouds, azure blue sky, golden sunlight, soft shadows cast on the cloud""
]
```",12,1,4
A mirror is speaking in a dimly lit room,"```python
prompts = [
    ""A mirror is speaking in a dimly lit room"",
    ""A mirror is speaking in a dimly lit room, shadows creeping on walls"",
    ""A mirror is speaking in a dimly lit room, shadows creeping on walls, flickering candlelight"",
    ""A mirror is speaking in a dimly lit room, shadows creeping on walls, flickering candlelight, ornate frame surrounding the mirror"",
    ""A mirror is speaking in a dimly lit room, shadows creeping on walls, flickering candlelight, ornate frame surrounding the mirror, an old wooden table cluttered with mysterious objects""
]
```",9,1,3
An ice castle standing proudly in the midst of a blizzard,"```python
prompts = [
    ""An ice castle standing proudly in the midst of a blizzard"",
    ""An ice castle standing proudly in the midst of a blizzard, towering spires"",
    ""An ice castle standing proudly in the midst of a blizzard, towering spires, swirling snowflakes"",
    ""An ice castle standing proudly in the midst of a blizzard, towering spires, swirling snowflakes, frozen moat"",
    ""An ice castle standing proudly in the midst of a blizzard, towering spires, swirling snowflakes, frozen moat, distant snow-covered mountains""
]
```",11,0,4
A potion bubbling brightly inside a cauldron in a shadowy nook,"```python
prompts = [
    ""A potion bubbling brightly inside a cauldron in a shadowy nook"",
    ""A potion bubbling brightly inside a cauldron in a shadowy nook, surrounded by hanging herbs"",
    ""A potion bubbling brightly inside a cauldron in a shadowy nook, surrounded by hanging herbs, shelves lined with ancient tomes"",
    ""A potion bubbling brightly inside a cauldron in a shadowy nook, surrounded by hanging herbs, shelves lined with ancient tomes, flickering candlelight casting eerie shadows"",
    ""A potion bubbling brightly inside a cauldron in a shadowy nook, surrounded by hanging herbs, shelves lined with ancient tomes, flickering candlelight casting eerie shadows, cobwebs draped across the walls""
]
```",11,0,4
